lat,lon,depth_m,station_order,station,sample_type
32.659333,-117.262000,18.0,1.0,A1,kelp-WQ
32.675500,-117.266833,18.0,2.0,A7,kelp-WQ
32.692667,-117.269667,18.0,3.0,A6,kelp-WQ
32.716333,-117.272167,18.0,4.0,C7,kelp-WQ
32.732667,-117.273333,18.0,5.0,C8,kelp-WQ
32.693667,-117.261333,9.0,6.0,C6,kelp-WQ
32.679167,-117.256667,9.0,7.0,C5,kelp-WQ
32.665833,-117.249667,9.0,8.0,C4,kelp-WQ
32.572333,-117.167500,18.0,9.0,I39,kelp-WQ
32.536333,-117.129000,10.0,10.0,I19,kelp-WQ
32.537167,-117.136167,10.0,11.0,I40,kelp-WQ
32.556667,-117.145000,9.0,12.0,I24,kelp-WQ
32.561167,-117.148000,9.0,13.0,I25,kelp-WQ
32.574500,-117.147000,9.0,14.0,I26,kelp-WQ
32.594667,-117.138000,10.0,15.0,I32,kelp-WQ
32.648000,-117.216333,12.0,1.0,I37,IWCP-north-WQ
32.630000,-117.216000,19.0,2.0,I34,IWCP-north-WQ
32.623833,-117.237000,30.0,3.0,I33,IWCP-north-WQ
32.593833,-117.264000,55.0,4.0,I28,IWCP-north-WQ
32.594500,-117.223000,38.0,5.0,I29,IWCP-north-WQ
32.595333,-117.197000,28.0,6.0,I30,IWCP-north-WQ
32.595500,-117.172000,19.0,7.0,I31,IWCP-north-WQ
32.594667,-117.138000,10.0,8.0,I32,IWCP-north-WQ
32.639167,-117.154000,11.0,9.0,I36,IWCP-north-WQ
32.636667,-117.182000,19.0,10.0,I35,IWCP-north-WQ
32.668833,-117.186667,11.0,11.0,I38,IWCP-north-WQ
32.574167,-117.191000,28.0,1.0,I27,IWCP-outfall-WQ
32.572333,-117.167500,18.0,2.0,I39,IWCP-outfall-WQ
32.574500,-117.147000,9.0,3.0,I26,IWCP-outfall-WQ
32.561167,-117.148000,9.0,4.0,I25,IWCP-outfall-WQ
32.556667,-117.145000,11.0,5.0,I24,IWCP-outfall-WQ
32.553833,-117.136167,10.0,6.0,I40,IWCP-outfall-WQ
32.536333,-117.129000,10.0,7.0,I19,IWCP-outfall-WQ
32.536167,-117.161000,19.0,8.0,I18,IWCP-outfall-WQ
32.537833,-117.178000,25.0,9.0,I17,IWCP-outfall-WQ
32.537833,-117.183000,28.0,10.0,I16,IWCP-outfall-WQ
32.532833,-117.183000,28.0,11.0,I12,IWCP-outfall-WQ
32.537833,-117.189000,31.0,12.0,I15,IWCP-outfall-WQ
32.543000,-117.184000,28.0,13.0,I14,IWCP-outfall-WQ
32.553333,-117.185000,28.0,14.0,I22,IWCP-outfall-WQ
32.550833,-117.165000,21.0,15.0,I23,IWCP-outfall-WQ
32.557000,-117.257000,55.0,1.0,I20,IWCP-south-WQ
32.516667,-117.253000,52.0,2.0,I7,IWCP-south-WQ
32.473333,-117.277000,60.0,3.0,I1,IWCP-south-WQ
32.473333,-117.199000,32.0,4.0,I2,IWCP-south-WQ
32.467000,-117.168000,27.0,5.0,I3,IWCP-south-WQ
32.471667,-117.140000,18.0,6.0,I4,IWCP-south-WQ
32.471667,-117.130000,14.0,7.0,I5,IWCP-south-WQ
32.493500,-117.163000,26.0,8.0,I6,IWCP-south-WQ
32.513333,-117.137000,13.0,9.0,I11,IWCP-south-WQ
32.516667,-117.156000,19.0,10.0,I10,IWCP-south-WQ
32.511667,-117.179000,29.0,11.0,I9,IWCP-south-WQ
32.516667,-117.202000,36.0,12.0,I8,IWCP-south-WQ
32.537500,-117.212000,38.0,13.0,I13,IWCP-south-WQ
32.560667,-117.227000,41.0,14.0,I21,IWCP-south-WQ
